"","age_class","Total","var","date"
"1","0-17","0","death_cumul_conf","2020-03-09"
"2","18-44","0","death_cumul_conf","2020-03-09"
"3","45-64","0","death_cumul_conf","2020-03-09"
"4","65-74","0","death_cumul_conf","2020-03-09"
"5","75+","0","death_cumul_conf","2020-03-09"
"6","0-17","0","death_cumul_conf","2020-03-10"
"7","18-44","0","death_cumul_conf","2020-03-10"
"8","45-64","0","death_cumul_conf","2020-03-10"
"9","65-74","0","death_cumul_conf","2020-03-10"
"10","75+","0","death_cumul_conf","2020-03-10"
"11","0-17","0","death_cumul_conf","2020-03-11"
"12","18-44","0","death_cumul_conf","2020-03-11"
"13","45-64","0","death_cumul_conf","2020-03-11"
"14","65-74","0","death_cumul_conf","2020-03-11"
"15","75+","0","death_cumul_conf","2020-03-11"
"16","0-17","0","death_cumul_conf","2020-03-12"
"17","18-44","0","death_cumul_conf","2020-03-12"
"18","45-64","0","death_cumul_conf","2020-03-12"
"19","65-74","0","death_cumul_conf","2020-03-12"
"20","75+","0","death_cumul_conf","2020-03-12"
"21","0-17","0","death_cumul_conf","2020-03-13"
"22","18-44","0","death_cumul_conf","2020-03-13"
"23","45-64","0","death_cumul_conf","2020-03-13"
"24","65-74","0","death_cumul_conf","2020-03-13"
"25","75+","0","death_cumul_conf","2020-03-13"
"26","0-17","0","death_cumul_conf","2020-03-14"
"27","18-44","0","death_cumul_conf","2020-03-14"
"28","45-64","0","death_cumul_conf","2020-03-14"
"29","65-74","0","death_cumul_conf","2020-03-14"
"30","75+","0","death_cumul_conf","2020-03-14"
"31","0-17","0","death_cumul_conf","2020-03-15"
"32","18-44","0","death_cumul_conf","2020-03-15"
"33","45-64","0","death_cumul_conf","2020-03-15"
"34","65-74","0","death_cumul_conf","2020-03-15"
"35","75+","1","death_cumul_conf","2020-03-15"
"36","0-17","0","death_cumul_conf","2020-03-16"
"37","18-44","0","death_cumul_conf","2020-03-16"
"38","45-64","1","death_cumul_conf","2020-03-16"
"39","65-74","1","death_cumul_conf","2020-03-16"
"40","75+","2","death_cumul_conf","2020-03-16"
"41","0-17","0","death_cumul_conf","2020-03-17"
"42","18-44","0","death_cumul_conf","2020-03-17"
"43","45-64","2","death_cumul_conf","2020-03-17"
"44","65-74","2","death_cumul_conf","2020-03-17"
"45","75+","3","death_cumul_conf","2020-03-17"
"46","0-17","0","death_cumul_conf","2020-03-18"
"47","18-44","0","death_cumul_conf","2020-03-18"
"48","45-64","4","death_cumul_conf","2020-03-18"
"49","65-74","4","death_cumul_conf","2020-03-18"
"50","75+","6","death_cumul_conf","2020-03-18"
"51","0-17","0","death_cumul_conf","2020-03-19"
"52","18-44","0","death_cumul_conf","2020-03-19"
"53","45-64","6","death_cumul_conf","2020-03-19"
"54","65-74","6","death_cumul_conf","2020-03-19"
"55","75+","10","death_cumul_conf","2020-03-19"
"56","0-17","0","death_cumul_conf","2020-03-20"
"57","18-44","1","death_cumul_conf","2020-03-20"
"58","45-64","10","death_cumul_conf","2020-03-20"
"59","65-74","10","death_cumul_conf","2020-03-20"
"60","75+","18","death_cumul_conf","2020-03-20"
"61","0-17","0","death_cumul_conf","2020-03-21"
"62","18-44","2","death_cumul_conf","2020-03-21"
"63","45-64","13","death_cumul_conf","2020-03-21"
"64","65-74","14","death_cumul_conf","2020-03-21"
"65","75+","25","death_cumul_conf","2020-03-21"
"66","0-17","0","death_cumul_conf","2020-03-22"
"67","18-44","3","death_cumul_conf","2020-03-22"
"68","45-64","17","death_cumul_conf","2020-03-22"
"69","65-74","18","death_cumul_conf","2020-03-22"
"70","75+","33","death_cumul_conf","2020-03-22"
"71","0-17","0","death_cumul_conf","2020-03-23"
"72","18-44","1","death_cumul_conf","2020-03-23"
"73","45-64","23","death_cumul_conf","2020-03-23"
"74","65-74","20","death_cumul_conf","2020-03-23"
"75","75+","55","death_cumul_conf","2020-03-23"
"76","0-17","0","death_cumul_conf","2020-03-24"
"77","18-44","3","death_cumul_conf","2020-03-24"
"78","45-64","31","death_cumul_conf","2020-03-24"
"79","65-74","23","death_cumul_conf","2020-03-24"
"80","75+","68","death_cumul_conf","2020-03-24"
"81","0-17","0","death_cumul_conf","2020-03-25"
"82","18-44","5","death_cumul_conf","2020-03-25"
"83","45-64","43","death_cumul_conf","2020-03-25"
"84","65-74","44","death_cumul_conf","2020-03-25"
"85","75+","100","death_cumul_conf","2020-03-25"
"86","0-17","0","death_cumul_conf","2020-03-26"
"87","18-44","15","death_cumul_conf","2020-03-26"
"88","45-64","57","death_cumul_conf","2020-03-26"
"89","65-74","70","death_cumul_conf","2020-03-26"
"90","75+","138","death_cumul_conf","2020-03-26"
"91","0-17","0","death_cumul_conf","2020-03-27"
"92","18-44","16","death_cumul_conf","2020-03-27"
"93","45-64","77","death_cumul_conf","2020-03-27"
"94","65-74","91","death_cumul_conf","2020-03-27"
"95","75+","181","death_cumul_conf","2020-03-27"
"96","0-17","0","death_cumul_conf","2020-03-28"
"97","18-44","20","death_cumul_conf","2020-03-28"
"98","45-64","104","death_cumul_conf","2020-03-28"
"99","65-74","110","death_cumul_conf","2020-03-28"
"100","75+","216","death_cumul_conf","2020-03-28"
"101","0-17","0","death_cumul_conf","2020-03-29"
